"","word","frequency"
"323","zivilbevölkerung",2
"127","#dekt",2
"220","#jetztistdiezeit",2
"44","anjasiegesmund",2
"57","außerhalb",2
"66","dank",2
"84","de",2
"128","engagement",2
"136","erneuerung",2
"157","glückwunsch",2
"168","herzlichen",2
"186","inner",2
"193","kirchengemeinschaft",2
"205","maizière",2
"2111","präsidium",2
"226","thomas",2
"236","torsten",2
"247","umbruchs",2
"265","vielen",2
"275","wahl",2
"286","wandels",2
"296","wichtige",2
"303","zeiten",2
"316","zugehör",2
"129","",1
"317","brücken",2
"67","echte",2
"94","ende",2
"105","ergebnis",2
"1111","erneuerung",2
"1210","fortschrittskoalition",2
"147","gebaut",2
"158","gefunden",2
"169","gemeinsamen",2
"175","gemeinsamkeiten",2
"187","gesprochen",2
"206","intensiv",2
"2112","jahrzehnt",2
"237","nächste",2
"248","nutzen",2
"256","reform",2
"276","vorgelegt",2
"287","vorschlag",2
"130","",1
"227","#zapfenstreich",2
"318","afghanistaneinsatz",2
"45","arbeit",2
"1112","dienst",2
"137","dramatische",2
"148","ehren",2
"1610","eingesetzten",2
"176","endete",2
"188","gedenken",2
"194","gestellt",2
"207","großen",2
"249","innehaltens",2
"257","jahren",2
"266","landes",2
"277","leben",2
"288","menschen",2
"319","opfer",2
"324","soldatinnen",2
"331","tag",2
"351","unseres",2
"361","weise",2
"228","annarmpeters",2
"320","besten",2
"46","dank",2
"85","dzienus",2
"106","glückwunsch",2
"1113","gruenejugend",2
"1211","herzlichen",2
"138","job",2
"149","liebe",2
"159","oekofuzzi",2
"1611","spitze",2
"177","tollen",2
"195","wahl",2
"208","xsarahleee",2
"139","#friedensnobelpreis",2
"229","berichterstattung",2
"325","dafür",2
"47","dank",2
"86","dmitri",2
"107","freie",2
"1212","gehen",2
"1310","hohe",2
"1510","journalistinnen",2
"1612","lebenselixier",2
"178","maria",2
"189","meinungsbildung",2
"196","muratow",2
"209","pressefreiheit",2
"2113","respekt",2
"2210","ressa",2
"238","risiken",2
"2410","tagtäglich",2
"258","unabhängige",2
"278","weltweit",2
"289","wichtiges",2
"297","zeichen",2
"48","danke",4
"68","diegruenen",2
"87","ersten",2
"1213","gekämpft",2
"1311","gestimmt",2
"1410","grün",2
"1613","heute",2
"179","kanzlerinnenschaft",2
"1810","lust",2
"197","mal",2
"2010","politik",2
"239","vertrauen",2
"2411","vielen",2
"259","wählerinnen",2
"140","#btw",2
"326","bedeutet",2
"58","demokratie",2
"108","geht",2
"1114","grün",2
"1214","gut",2
"1411","heute",2
"1511","hohes",2
"1811","klimaregierung",2
"198","leben",2
"2011","nutzen",2
"2412","wahl",2
"2510","wählen",2
"267","wer",2
"304","zukunft",2
"150","",1
"230","all",2
"327","angriff",2
"59","danke",2
"75","demokratie",2
"109","einstehen",2
"1215","gilt",2
"1812","liberale",2
"199","mehr",2
"2012","müssen",2
"2114","plauen",2
"2211","schockierend",2
"2310","tag",6
"2413","tun",2
"2511","umso",2
"279","unsere",2
"2810","unseren",2
"298","wahlkampfstand",2
"160","",1
"240","#klimastreik",2
"49","alters",2
"76","aufbruch",2
"88","beim",2
"1115","deutlich",2
"1216","deutschlandweit",2
"1614","gehen",2
"1710","geht",2
"1813","heute",2
"2212","jugendliche",2
"2311","kinder",2
"2414","klimawahl",2
"2512","köln",2
"2710","menschen",2
"305","sonntag",2
"3110","straße",2
"352","wahl",2
"381","wissen",2
"40","zehntausende",2
"411","zukunft",2
"250","bat",2
"328","befolgen",2
"410","darum",2
"89","erschüttert",2
"95","familie",2
"1010","furchtbare",2
"1116","geltenden",2
"1217","gilt",2
"1312","jungen",2
"1412","mann",2
"1711","mitgefühl",2
"1814","mord",2
"1910","nächsten",2
"2115","regeln",2
"2513","solidarisch",2
"268","umsichtig",2
"170","",1
"260","#triell",2
"329","abend",2
"510","beim",2
"77","diskussion",2
"810","freue",2
"96","heute",2
"1117","letzten",2
"1313","tv",2
"180","",1
"269","#innovationsstandort",2
"330","#potsdam",2
"511","bauen",2
"69","bauhaus",2
"78","bundesregierung",2
"1218","eindämmung",2
"1413","entscheidend",2
"1512","erde",2
"1615","freue",2
"1815","gutes",2
"1911","hauptsitz",2
"2213","initiative",2
"2415","klimakrise",2
"2514","kommende",2
"2811","nachhaltiges",2
"299","prioritäten",2
"306","region",2
"3210","signal",2
"190","#klartext",2
"270","abend",2
"512","bürgerinnen",2
"610","bürgern

",2
"97","diskussion",2
"1011","freue",2
"1118","gast",2
"1219","heute",2
"1712","uhr",2
"2013","zdf",2
"1100","",1
"280","#bildung",2
"332","#chancen",2
"412","#oecdbericht",2
"811","bildungssystem",2
"98","coronajahr",2
"1119","davon",2
"1816","gehen",2
"1912","gleiche",2
"2014","gute",2
"2116","jahr",2
"2214","jugendämter",2
"2312","kindern",2
"2416","lassen",2
"2515","mehr",2
"2812","schafft",2
"2910","schulabbrecherquote",2
"333","verdoppelt",2
"353","zeigt",2
"371","zukommen",2
"1101","",1
"290","#triell",2
"334","abend",2
"413","aufs",2
"513","diskussion",2
"79","freue",2
"812","heute",2
"1012","spannende",2
"1120","uhr",2
"1414","zweite",2
"1102","",1
"335","braucht",2
"414","bundestagswahl",2
"514","chuzpe",2
"611","dank",2
"710","darüber",2
"1220","gespräch",2
"1314","gesprochen",2
"1415","größte",2
"1616","holofernes",2
"2015","jholofernes",2
"2117","judith",2
"2215","konsumentscheidung",2
"2313","leben",2
"2417","mal",2
"2610","schiller",2
"2711","spannende",2
"2813","tourbus",2
"2911","umzudichten",2
"3111","vielen",2
"3211","wann",2
"336","warum",2
"342","wohl",2
"1103","",3
"2100","#september",2
"415","deutlich",2
"711","gedenke",2
"813","gemacht",2
"1121","heute",2
"1416","jahren",2
"1513","leben",2
"1617","menschen",2
"1817","tag",2
"2016","verloren",2
"2118","verwundbar",2
"2611","zäsur",2
"1104","",1
"416","dafür",2
"515","grün",2
"612","hören",2
"99","klimakrise",2
"1221","reden",2
"1315","september",2
"1417","wählen",2
"1105","",1
"337","auftrag",2
"417","chaknobloch",2
"516","dank",2
"613","deutschland",4
"910","einladung",2
"1013","feiern",2
"1316","israelitische",2
"1514","jahr",2
"1618","jahre",2
"1713","jüdisches",4
"1818","kultusgemeinde",2
"1913","leben",4
"2017","liebe",2
"2119","machen
vielen",2
"2216","münchen",2
"2314","oberbayern",2
"2418","schützen",2
"2516","sichtbarer",2
"1106","",1
"2101","beide",2
"338","gesprochen",2
"517","hartnäckig",2
"814","landwirtschaft",2
"911","martin",2
"1122","rein",2
"1222","rütter",2
"1317","schaut",2
"1515","tierhaltung",2
"1819","vertrauen",2
"2120","wissen",2
"2217","wobei",2
"2315","wollt",2
"1107","abend",2
"339","beginnt",2
"712","gesundes",2
"815","heute",2
"1014","jahr",4
"1123","juden",2
"1223","jüdinnen",2
"1318","jüdischen",2
"1418","kalender",2
"1619","neues",2
"1714","schana",2
"1820","süßes",2
"1914","towa",2
"2018","umetuka
#roshhashanah",2
"2218","wünsche",2
"2316","zuversichtliches",2
"1108","",1
"2102","#belarus",2
"340","#kolesnikowa",2
"418","#standwithbelarus",2
"518","#westandbyyou",2
"816","demokratie",2
"912","freigelassen",2
"1124","gefangenen",2
"1319","hinnehmbar",2
"1516","kämpferinnen",2
"1620","maria",2
"1715","maxim",2
"1821","menschenrechte",2
"1915","müssen",2
"2019","mutige",2
"2219","politischen",2
"2517","umgehend",2
"2712","unschuldig",2
"2814","urteil",2
"307","znak",2
"1109","",1
"2103","#altenahr",2
"343","#flutkatastrophe",2
"419","angehörigen",2
"519","aufzubauen",2
"614","bewundere",2
"713","dank",2
"1015","ehrenamtliche",2
"1224","existenz",2
"1320","ganz",2
"1419","großartig",2
"1517","großen",2
"1716","helfen",2
"2518","kraft",2
"2612","leben",2
"2713","menschen",2
"2815","schufften",2
"308","tag",2
"3212","verloren",2
"3310","viele",4
"372","zuhause",2
"1125","",1
"2104","amp",2
"344","armutszeugnis",2
"420","behebt",2
"520","benachteiligten",2
"615","bildungsoffensive",2
"714","bundesfinanzierung",2
"817","chancen",2
"1321","ganztagsausbau",2
"1420","gebieten",2
"1822","kinder",2
"2121","qualität",2
"2220","schulen",2
"2317","schulsystem",2
"2613","stark",2
"2714","stärkere",2
"2816","statt",2
"2912","überfällig",2
"309","ungleichheit",2
"3213","va",2
"3311","verstärkt",2
"1126","",1
"2105","abend",2
"616","freue",2
"715","gespräch",2
"818","heute",2
"1127","prosieben",2
"1128","",1
"2106","#hopeinaction",2
"345","couragiertem",2
"521","einsatz",2
"617","friedlichere",2
"819","glückwunsch",2
"913","greenpeacede",2
"1016","herzlichen",2
"1129","jahren",2
"1225","lebensgrundlagen",2
"1421","unsere",2
"1518","welt",2
"1130","agoraew",2
"2107","agoraverkehr",2
"346","amp",2
"421","angepackt",2
"618","bereit

",2
"1017","erfordert",2
"1226","gezeigt",2
"1422","handeln",2
"1519","heute",2
"1717","klimakrise",2
"1823","klimaregierung",2
"1916","klimaschutzsofortprogramm",2
"2020","konsequentes",2
"2122","liegen",2
"2519","stiftungklima",2
"2614","tisch",2
"2715","unsere",2
"2817","vorschläge",2
"1131","",1
"2108","#rtltriell",2
"422","besten",2
"820","diskussion",2
"1018","freue",2
"1227","heute",2
"1423","ideen",2
"1621","kanzlerinnenamt",2
"1718","land",2
"2123","mitbewerbern",2
"2221","spannende",2
"2318","streit",2
"2419","uhr",2
"2716","zwei",2
"1132","",1
"2109","#afghanistan",2
"423","amp",2
"522","angesichts",2
"619","belastungen",2
"716","beteiligt",2
"821","dank",2
"1322","diplomatinnen",2
"1424","evakuierungseinsatz",2
"1520","geleistet",2
"1622","gilt",2
"1719","großen",2
"2124","mitarbeiterinnen",2
"2222","physischen",2
"2319","polizistinnen",2
"2420","psychischen",2
"2520","respekt",2
"2615","risikos",2
"2818","soldatinnen",2
"2913","sowie",2
"3112","unglaubliches",2
"3214","unseren",2
"1133","#kabul",2
"347","amp",2
"620","benötigen",2
"717","daran",2
"1323","dramatisch",2
"1425","ende",2
"1521","entwicklungen",2
"1623","erschüttern",2
"1720","evakuierungsflüge",2
"1824","gedanken",2
"1917","geholfen",2
"2021","hinterbliebenen",2
"2320","lage",2
"2521","menschen",2
"2717","müssen",2
"2914","opfern",2
"3010","schutz",2
"3113","setzen",2
"3312","unseren",2
"373","zutiefst",2
"1134","#union",2
"348","chancengerechtigkeit",2
"424","dgbnews",2
"621","dksbbund",2
"718","eben",2
"822","eigenständige",2
"1019","fordern",2
"1624","kinder",2
"1721","kinderarmut",2
"1825","kindergrundsicherung",2
"1918","land",2
"2125","programm",2
"2223","realität",2
"2421","tausende",2
"2616","unserem",2
"2718","verbände",2
"2819","viele",2
"2915","wählbar
",2
"3011","weitere",2
"1135","#nawalny",2
"2126","#nowitschokvergiftung",2
"349","alexej",2
"622","dient",2
"823","freigelassen",2
"914","gefangenschaft",2
"1020","gittern",2
"1228","immer",2
"1324","jahr",2
"1426","machtdemonstration",2
"1722","nawalny",2
"1919","oppositionspolitiker",2
"2022","prominenteste",2
"2127","putins",2
"2224","russlands",2
"2422","sitzt",2
"2522","unrecht",2
"2617","unverzüglich",2
"1136","#jüdischegegenwart
",2
"2128","#potsdam",2
"350","#wissenschaftsstadt",2
"523","dach",2
"915","endlich",2
"1021","eröffnung",2
"1137","europäischen",2
"1325","gelehrsamkeit",2
"1427","jüdische",2
"1522","jüdisches",2
"1723","lernen",2
"1826","masel",2
"1920","plurales",2
"2023","stattfinden",2
"2129","tow",2
"2225","unipotsdam",2
"2423","zentrums",2
"1138","",1
"2130","#afghanistan",2
"623","bundesregierung",2
"719","bundeswehr",2
"1139","entsprechend",2
"1326","evakuierung",2
"1428","geht",2
"1523","handeln",2
"1625","hilfe",2
"2024","lange",2
"2131","leben",2
"2321","möglich",2
"2523","niemand",2
"2719","pragmatisch",2
"2820","retten",2
"2916","stunde",2
"3114","umgehend",2
"3215","unbürokratisch",2
"3313","unternehmen",2
"3410","weiß",2
"1140","",9
"2132","amp",2
"354","bundesregierung",2
"425","bus",2
"524","daher",2
"624","daseinsvorsorge",2
"916","fährt",2
"1022","fehlt",2
"1141","geschäfte",2
"1229","grundgesetz",2
"1626","land",2
"1827","mehr",2
"1921","menschen",2
"2025","mobilfunknetz",2
"2133","möchte",2
"2226","nächsten",2
"2424","priorität",2
"2524","regionale",2
"2618","schließen",2
"2720","stadt",2
"2821","verankern",2
"3115","ziehen",2
"1142","#biedenkopf",2
"355","angehörigen",2
"426","aufrichtiges",2
"525","beileid",2
"625","cdu",2
"1230","familie",2
"1327","fehlen",2
"1429","gestaltet",2
"1524","gilt",2
"1724","jahre",2
"1828","kurt",2
"2026","ministerpräsident",2
"2227","persönlichkeiten",2
"2322","prägenden",2
"2425","sachsens",2
"2917","weitsicht",2
"3012","wichtigsten",2
"3116","wiedervereinigung",2
"1143","#mauerbau",2
"356","beton",2
"626","erfüllt",2
"720","gedanke",2
"824","gegossene",2
"917","grenze",2
"1144","innerdeutsche",2
"1231","jahre",2
"1328","kalte",2
"1430","krieg",2
"1525","mauertoten",2
"1829","schmerz",2
"2027","vielen",2
"1145","",1
"2134","abgelehnt",2
"357","abschiebestopp",2
"427","absolut",2
"526","afghanistan",2
"627","aktuell",2
"1146","bundesregierung",2
"1232","dank",2
"1725","druck",2
"2028","gebiete",2
"2135","gemacht",2
"2228","gestern",2
"2323","gibt",2
"2721","menschlichkeit",2
"3013","notwendigen",2
"3117","schritt",2
"3216","sicheren",2
"3314","überfällig",2
"3411","vielen",2
"1147","",1
"2136","#ipcc",2
"527","ändert",2
"628","bericht",2
"1233","führt",2
"1329","grad",2
"1526","immer",2
"1922","klima",2
"2029","klimaerhitzung",2
"2137","mehr",4
"2229","ozeanerwärmung",2
"2324","regionen",2
"2426","schneller",2
"2525","schon",2
"2722","temperaturanstieg",2
"2918","verlieren",2
"3118","welt",2
"3217","wetterextremen",2
"3412","zeigt",2
"358","zeit",2
"359","beim",2
"428","bereiche",2
"528","brauchen",2
"629","bundesregierung",2
"1234","handlungsmaßstab",2
"1330","hitzewellen",2
"1431","hochwasser",2
"1627","klar",2
"1726","klimakrise",2
"1830","klimaschutz",4
"1923","klimaschutzministerium",2
"2030","längst",2
"2230","mehr",2
"2427","motor",2
"2619","neue",2
"2723","starken",2
"2822","tempo",2
"2919","veränderung",2
"3014","waldbrände",2
"1148","",1
"2138","#klimaschutzsofortprogramm",2
"360","amp",2
"529","ausrichten",2
"630","bewältigung",2
"721","bundesregierung",2
"1149","ersten",2
"1331","ganze",2
"1432","habeck",2
"1527","handeln",2
"1831","jahrhundertaufgabe",2
"1924","klimaschutz",2
"2031","konkrete",2
"2139","kraft",2
"2231","legen",2
"2526","nächste",2
"2620","reden",2
"2724","regierungsmonate",2
"2823","robert",2
"3015","statt",2
"3218","vorschläge",2
"1150","amp",2
"2140","ausschluss",2
"362","beide",2
"429","belarussischen",2
"530","brauchen",2
"631","bundesregierung",2
"722","bykalesnikava",2
"1151","einsetzen",2
"1332","gemacht",2
"1433","maksim",2
"1528","morgen",2
"1727","öffentliches",2
"1832","öffentlichkeit",2
"1925","oppositionellen",2
"2032","prozess",2
"2141","prozessbeobachter",2
"2428","unabhängige",2
"2621","unsere",2
"2824","unterstützung",2
"2920","verfahren",2
"3119","znak",2
"1152","",1
"2142","amp",2
"430","besser",2
"531","bildung",2
"632","bildungsoffensive",2
"723","bildungssystem",2
"825","corona",2
"918","darum",2
"1434","fairsten",2
"2033","klar",2
"2143","landes",2
"2325","modernsten",2
"2429","müssen",2
"2527","nationale",2
"2825","orten",2
"2921","pandemie",2
"3016","schlage",2
"3120","schönsten",2
"3219","schulen",2
"3315","sichere",2
"363","vieles",2
"401","zäsur",2
"1153","#klimakrise",2
"431","dafür",2
"1023","folgen",2
"1154","gehen",2
"1235","habeck",2
"1435","heißt",2
"1529","heute",2
"1728","klimapolitik",2
"1833","konkret",2
"1926","leitprinzip",2
"2144","menschen",2
"2232","neuen",2
"2326","politik",2
"2430","robert",2
"2528","schützen",2
"2622","tun",2
"2826","vorgestelltubufef
",2
"2922","vorsorge",2
"1155","#earthovershootday",2
"2145","ab",2
"633","amp",2
"1236","erde",2
"1333","gefährdet",2
"1436","generationen",2
"1530","grenzen",2
"1729","herstellen",2
"1834","heute",2
"2034","jahr",2
"2233","kommender",2
"2327","kosten",2
"2431","leben",2
"2529","leitlinie",2
"2725","müssen",2
"2827","planetaren",2
"2923","planeten",2
"3017","politischen",2
"3121","ressourcen",2
"3220","unsere",2
"3316","verbraucht",2
"3510","zukunft",2
"1156","#flüchtlingskonvention",2
"2146","#gfk",2
"826","feiern",2
"919","fliehen",2
"1024","gebraucht",2
"1157","genfer",2
"1237","gibt",2
"1334","grund",2
"1437","heimatländern",2
"1531","heute",2
"1730","immer",2
"1927","jahren",2
"2035","je",2
"2234","mehr",2
"2328","menschen",2
"2432","millionen",2
"2530","müssen",2
"2828","seit",2
"3221","umso",2
"3317","weltweit",2
"3413","wichtiger",2
"1158","#btw",2
"364","bauen",2
"532","darum",2
"1025","erneuerbare",2
"1238","gehts",2
"1335","industrie",2
"1532","kapiert",2
"1628","klimaneutrale",2
"1731","klimaschutz",2
"1835","land",2
"1928","landesfläche",2
"2036","modernisieren",2
"2329","nutzen",2
"2433","rohstoff",2
"2531","sagt",2
"2726","union",2
"2829","verhindert",2
"2924","wer",4
"3018","windkraft",2
"3122","windräder",2
"1159","",1
"2147","arbeiten",2
"365","baustein",2
"432","besuchen",2
"533","deutschland",2
"634","deutschpolnische",2
"920","einzukaufen",2
"1026","europäischen",2
"1160","familie",2
"1239","freunde",2
"1336","freundschaft",2
"1438","integration",2
"1629","menschen",2
"1836","pendeln",2
"1929","polen",2
"2037","täglich",2
"2148","tausende",2
"2434","unserer",2
"2532","zentraler",2
"1161","",1
"2149","#katastrophenschutz",2
"366","#klimaschutz",2
"433","amp",4
"635","beim",2
"724","besseren",2
"827","braucht",2
"1337","extremwetterereignissen",2
"1533","irenemihalic",2
"1732","jahren",2
"1930","klar",2
"2038","klimaschutz",2
"2150","mehr",2
"2330","menschen",2
"2435","müssen",2
"2623","neben",2
"2727","schützen",2
"2830","steht",2
"2925","tun",2
"3123","union",2
"3318","vorschläge",2
"3414","vorsorge",2
"1162","",1
"2151","ab",2
"367","arena",2
"534","aufzeichnung",2
"636","august",2
"725","ausgestrahlt",2
"921","beim",2
"1240","demokratischen",2
"1733","dienstag",2
"1837","fragen",2
"2152","interview",2
"2235","juden",2
"2331","onlinekanälen",2
"2436","parteien",2
"2533","sendung",2
"2728","spitzen",2
"2831","stellen",2
"2926","tachles",2
"3019","vorigen",2
"3319","zentralrat",2
"3415","zentralrats",4
"1163","",1
"2153","danke",2
"535","initiative",2
"1164","",1
"2154","#kinderarmut",2
"434","awo",2
"536","awopotsdam",2
"637","büro",2
"726","dank",2
"1165","familien",2
"1338","gemeinsam",2
"1439","gespendet",2
"1630","heute",2
"1838","kinderarmut",2
"1931","neuwertige",2
"2039","schulranzen",2
"2155","spenderinnen",2
"2236","überreicht",2
"2437","vielen",4
"2624","wurden",2
"1166","#oez",2
"2156","#utøya",2
"435","angehörigen",2
"537","anschläge",2
"727","beide",2
"1339","erschüttern",2
"1440","gedanken",2
"1631","gerichtet",2
"1734","gesellschaft",2
"1932","jungen",2
"2157","menschen",2
"2237","motiviert",2
"2332","münchen",2
"2438","opfern",2
"2534","rechtsextremistisch",2
"2625","schicksale",2
"2832","taten",2
"3020","unterschieden",2
"3124","vielfältige",2
"1167","#eidaladha",2
"638","feiern",2
"728","friedvolles",2
"828","gesegnetes",2
"1027","mubarak",2
"1168","opferfest",2
"1340","wünsche",2
"1169","#nrw",2
"2158","arbeiten",2
"368","bundeswehr",2
"436","denen",2
"922","einsatzkräfte",2
"1028","feuerwehren",2
"1170","gesprochen",2
"1341","hilfsorganisationen",2
"1632","leisten",2
"1735","mehreren",2
"1839","menschen",2
"2159","polizei",2
"2238","retten",2
"2333","schon",2
"2439","seit",2
"2535","tagen",2
"2626","thw",2
"2927","unglaubliches",2
"3021","viele",2
"1171","",1
"2160","abgeschnitten",2
"437","aufzunehmen",2
"538","betroffene",2
"829","erreicht",2
"1029","gehen",2
"1172","gespräche",2
"1241","gibt",2
"1342","hause",2
"1441","haut",2
"1534","helfen",2
"1633","heute",2
"1933","menschen",2
"2239","orte",2
"2334","rheinlandpfalz",2
"2536","solidarität",2
"2729","unglaubliche",2
"2928","unterstützen",2
"3022","unterwegs",2
"369","zugleich",2
"1173","angehörige",2
"2161","anne",2
"370","ausmaßen",2
"539","berichtet",2
"923","eben",2
"1030","erschütternden",2
"1174","gedanken",2
"1535","kümmern",2
"1736","menschen",2
"1840","ministerpräsidentin",2
"2162","rlp",2
"2440","sorgen",2
"2537","spiegel",2
"2627","stv",2
"2730","telefoniert",2
"2833","trauern",2
"2929","überschwemmungen",2
"3222","verletzte",2
"3320","vermisste",2
"1175","#starkregen",2
"438","deren",2
"540","deutschlands",2
"729","gedanken",2
"830","häuser",2
"924","heute",2
"1242","menschen",2
"1343","osten",2
"1536","straßen",2
"1634","überschwemmt",2
"1934","westen",2
"1176","#estherbejarano",2
"541","erinnern",2
"639","erlebte",2
"730","erzählte",2
"925","fehlen",2
"1177","gewicht",2
"1537","menschen",2
"1635","nie",2
"1841","stimme",2
"2163","vergessen",2
"2335","weiterzutragen",2
"2731","zukunft",2
"1178","",1
"2164","#klimapolitik",2
"374","amp",4
"439","antworten",2
"542","braucht",2
"640","darf",2
"731","deutschland",2
"1179","endlich",2
"1243","erlebt",2
"1442","extreme",2
"1538","gelassen",2
"1636","gut",2
"2040","katastrophen",2
"2165","klimaanpassungsfonds",2
"2336","politische",2
"2441","stich",2
"2538","überschwemmungen",2
"2628","unwetter",2
"2732","verliert",2
"2834","wer",2
"3023","wetterbedingte",2
"3223","woche",2
"1180","",1
"2166","ab",2
"543","brigitteonline",2
"732","finden",2
"831","gespräch",2
"926","heute",2
"1244","infos",2
"1344","live",2
"1637","stream",2
"1737","uhr",2
"2041","weiteren",2
"2167","#unwetter",2
"375","all",2
"544","ausstattung",2
"641","dank",2
"1031","ehrenamt",2
"1245","einsatz",2
"1345","feuerwehr",2
"1539","großen",2
"1638","gute",2
"1738","hilfskräfte",2
"2042","land",2
"2168","landes",2
"2240","pausenlos",2
"2337","seit",2
"2629","tagen",2
"2733","teilen",2
"2835","thw",2
"2930","überschwemmungen",2
"3224","unserem",2
"3321","vielen",2
"3511","wichtig",2
"382","wüten",2
"391","zeigt",2
"402","zentral",2
"1181","#würzburg",2
"642","dank",2
"832","denke",2
"1182","eingreifen",2
"1246","einsatzkräften",2
"1346","entsetzliche",2
"1443","familien",2
"1639","furchtbare",2
"1739","genesung",2
"1842","gilt",2
"1935","großer",2
"2539","menschen",2
"2630","miterlebt",2
"2734","mutigen",2
"2836","nachrichten",2
"2931","opfer",2
"3024","schnelle",2
"3125","tat",2
"3322","verletzten",2
"3416","volle",2
"3512","wünsche",2
"1183","",1
"376","b",2
"440","bewegen",2
"545","bpkaracsonyg",2
"643","budapest",2
"733","bürgermeister",2
"1444","gemeinsam",2
"1540","geschafft",2
"1640","gesellschaftliche",2
"1843","herausfordern",2
"2043","klimaschutz",2
"2241","kräfte",2
"2338","lagen",2
"2442","mp",2
"2540","orbán",2
"2631","progressive",2
"2735","schwierigen",2
"2837","solidarität",2
"2932","steht",2
"3025","überzeugung",2
"3323","verbindet",2
"1184","angehörigen",2
"2169","anschlag",2
"546","bundeswehrsoldaten",2
"927","furchtbarer",2
"1032","gedanken",2
"1347","kameraden",2
"1445","kameradinnen",2
"1541","mali",2
"1936","verletzten",2
"1185","",1
"2170","
#regierungserklärung
",2
"377","#europa",2
"441","bereit",2
"644","erneuern",2
"734","ersten",2
"928","europas",2
"1033","gilt",2
"1247","investieren",2
"1348","jahrzehnt",2
"1542","klimagerechten",2
"1641","klimaneutralen",2
"1740","kontinent",2
"1844","massiv",2
"2044","schaffen",2
"2242","unsere",2
"2339","versprechen",2
"2736","wohlstand",2
"2933","zukunft",2
"1186","",1
"2171","#regenbogenfarben",2
"378","bereit",2
"645","durchs",2
"929","eurenuf",2
